date;hour;production;;H0;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23
1.01.2022;0;0;;0;0;0;0;0;0;0;0;3.4;6.8;9.38;7.65;6.8;5.1;5.1;1.7;0;0;0;0;0;0;0;0
2.01.2022;0;0;;0;0;0;0;0;0;0;0;0;0.85;0.85;0.85;1.7;1.7;5.1;0.85;0;0;0;0;0;0;0;0
3.01.2022;0;0;;0;0;0;0;0;0;0;0.85;5.1;9.35;9.35;10.2;10.2;9.35;7.65;4.25;0;0;0;0;0;0;0;0
4.01.2022;0;0;;0;0;0;0;0;0;0;0;0.85;4.25;5.95;5.95;4.25;5.95;5.95;3.4;0.85;0;0;0;0;0;0;0
5.01.2022;0;0;;0;0;0;0;0;0;0;0;4.25;8.5;10.2;9.35;10.2;9.35;8.5;3.4;0;0;0;0;0;0;0;0
6.01.2022;0;0;;0;0;0;0;0;0;0;0.85;5.1;9.35;9.35;10.2;10.2;9.35;7.65;3.4;0.85;0;0;0;0;0;0;0
7.01.2022;0;0;;0;0;0;0;0;0;0;0;1.7;3.4;7.65;9.35;5.95;5.1;4.25;2.55;0;0;0;0;0;0;0;0
8.01.2022;0;0;;0;0;0;0;0;0;0;0;5.1;8.5;10.2;9.35;10.2;9.35;7.65;4.25;0;0;0;0;0;0;0;0
9.01.2022;0;0;;0;0;0;0;0;0;0;0;4.25;9.35;8.5;8.88;5.11;7.65;5.1;4.25;0;0;0;0;0;0;0;0
10.01.2022;0;0;;0;0;0;0;0;0;0;0;0;1.7;0.85;5.95;6.8;9.35;7.65;2.55;0.85;0;0;0;0;0;0;0
11.01.2022;0;0;;0;0;0;0;0;0;0;0;4.25;3.4;2.55;0.85;1.7;6.8;4.25;0.85;0.85;0;0;0;0;0;0;0
12.01.2022;0;0;;0;0;0;0;0;0;0;0;0.85;0.85;1.7;1.7;0.85;0;0.85;0;0;0;0;0;0;0;0;0
13.01.2022;0;0;;0;0;0;0;0;0;0;0;0;0.85;1.7;1.7;0.85;0;0.85;0;0;0;0;0;0;0;0;0
14.01.2022;0;0;;0;0;0;0;0;0;0;0;0;0.85;0.85;1.7;0.85;1.7;1.7;0.85;0;0;0;0;0;0;0;0
15.01.2022;0;0;;0;0;0;0;0;0;0;0;1.8;3.77;7.21;4.84;9.97;9.9;7.04;8.45;4.25;0;0;0;0;0;0;0
16.01.2022;0;0;;0;0;0;0;0;0;0;0;0.85;0.85;2.55;2.55;0.85;2.55;1.7;1.7;0;0;0;0;0;0;0;0
17.01.2022;0;0;;0;0;0;0;0;0;0;0;0;1.7;4.25;5.1;5.95;7.65;6.8;4.25;0.85;0;0;0;0;0;0;0
18.01.2022;0;0;;0;0;0;0;0;0;0;0.85;2.55;2.55;2.55;3.4;5.1;2.55;1.7;0;0;0;0;0;0;0;0;0
19.01.2022;0;0;;0;0;0;0;0;0;0;0;0;0.85;1.7;1.7;3.4;5.1;3.4;1.7;0;0;0;0;0;0;0;0
20.01.2022;0;0;;0;0;0;0;0;0;0;0.85;0.85;2.55;5.1;8.5;7.65;6.81;4.25;0.85;0;0;0;0;0;0;0;0
